Company,Country,Year,Slogan
Nexxus,US,2013,Beautiful under the sun.
European Wax Center,US,2013,Waxing for all.
European Wax Center,US,2016,Revealing beautiful skin.
European Wax Center,US,2019,Revealing you. Revealing beautiful skin.
European Wax Center,US,1995,Light up your day!
European Wax Center,US,1999,Summer inside you.
European Wax Center,US,2010,Everyone loves a sun moment.
Ralph Lauren Glamourous,UK,2002,A new kind of glamour.
Ralph Lauren Glamourous,UK,2003,The glamourous fragrance for her.
CK One,UK,2001,A fragrance for a man or a woman.
CK One,UK,2009,For all for ever.
CND,US,2012,Hands. Feet. Beauty.
CND,US,2013,Nails. Fashion. Beauty.
Sheer Blonde,UK,2003,"Be a lighter, brighter blonde."
Sheer Blonde,UK,2004,Stand up for your blonde with Sheer Blonde.
Gaultier 2,UK,2005,"The power of two, to share."
Gaultier 2,UK,2006,I’ve got to have you.
Gaultier 2,UK,2005,"The power of two, to share."
Gaultier 2,UK,2007,I’ve got to have you.
Nouvelle Soft,UK,2008,Totally soft. Totally recycled.
Nouvelle Soft,UK,2014,Nature will thank you.
Elizabeth Arden,UK,2000,Real beauty. Real quality. Real value.
Elizabeth Arden,UK,2002,Open for beauty.
Efferdent Plus,US,2003,Get confident. Get Efferdent.
Efferdent Plus,US,2004,The confident clean.
Cachet,US,1973,It’s the fragrance as individual as you are.
Cachet,US,1981,It’s different on every woman who wears it.
CamoCare,US,1999,The C that works.
CamoCare,US,2002,Functional skin care – Naturally.
Phisoderm,US,1973,It leaves your skin the way nature intended.
Phisoderm,US,1982,"Every day. For the cleanest clean, gently."
Elnett,UK,1988,The finest hairspray used by the finest hairdressers.
Elnett,UK,2003,The finest hairspray used by the finest stylists.
Elnett,UK,2010,Quality through research.
Elnett,UK,2010,Science for healthy skin.
Elnett,UK,2005,Natural Hi-Tech.
Elnett,UK,2015,Take care.
Nivea Visage,US,1993,Europe’s #1 moisturizer.
Nivea Visage,US,1997,Nivea brings your face to life.
Nivea Visage,US,2010,Beauty and manicure made in Solingen!
Nivea Visage,US,2013,Since 1896.
Maybelline,UK,1991,Maybe she’s born with it. Maybe it’s Maybelline.
Maybelline,UK,2009,Maybe it’s Maybelline.
Maybelline,UK,2014,Maybe it’s Maybelline.
Maybelline,UK,2016,Make it happen.
Garnier,UK,2006,No one makes the sun safer.
Garnier,UK,2009,Take care.
Pevonia Botanica,US,2008,Discover Pevonia Green: pevonia.com.
Pevonia Botanica,US,2013,Natural ingredients. Professional results.
Pert,US,1980,It happens with Pert shampoo.
Pert,US,1982,For bouncin’ & behavin’ hair.
Max Factor Mascara,US,1980,Take your eyes to the maxi.
Max Factor Mascara,US,1986,The glamour goes on.
Selsun Blue,US,2003,Never wear black without the blue.
Selsun Blue,US,2004,"For healthy, beautiful hair."
Dr. Brandt,US,2010,Take the doctor home with you.
Dr. Brandt,US,2017,Skin-changing science.
Depend,US,2004,You’re in control.
Depend,US,2005,Because little things mean a lot.
Max Factor,UK,1989,Make your beauty come to life.
Max Factor,UK,2009,The make-up of make-up artists.
Sensiq,UK,1990,Made purely for you.
Sensiq,UK,1992,Colour was never so pure.
Pears Soap,UK,1989,Pure and gentle.
Pears Soap,UK,1998,The original since 1807.
Shiseido,US,1993,Follow the sun with total confidence.
Shiseido,US,1995,The pureness of youth can be kept as long as you care.
Silvikrin,UK,1988,Brings back that loving feeling.
Silvikrin,UK,2003,For a long lasting style.
Brylcreem,US,1955,A little dab’l do ya.
Brylcreem,US,2008,Effortless.
Gold Bond,US,2003,The powder to be your best.
Gold Bond,US,2004,Gold Bond works.
Soft & Dri,US,1983,Soft & Dri helps when you’re nervous inside.
Soft & Dri,US,2013,Be soft. Be dry. Be confident…no matter what.
Diorskin,UK,2003,Make-up to fit your skin.
Diorskin,UK,2007,Skin dressed in Dior.
O.B.,US,2007,Mighty. Small.
O.B.,US,2007,Know yourself.
DivaCup,US,2012,"Finally, a better way!"
DivaCup,US,2016,A better period experience.
Lynx Dry,UK,2007,More than a deodorant – An antiperspirant.
Lynx Dry,UK,2008,Stay focused.
Borghese,US,1997,Essential Italian beauty.
Borghese,US,2013,Discover the secrets of tuscan beauty.
Softex,US,1972,We’re out to save your teeth.
Softex,US,1975,Your family’s teeth deserve Softex.
Ouidad,US,2003,We’ve been there. The curl experts.
Ouidad,US,2013,The curl experts.
Bonne Bell,US,1955,Don’t let your face tell time!
Bonne Bell,US,2013,Love color!
Sophia by Coty,US,1981,"Like the woman who inspired it, always magnificent. Never the same"
Sophia by Coty,US,1984,Wear it with passion.
Oil of Ulay,UK,1998,We can prove long lasting colour can care.
Oil of Ulay,UK,1998,We can prove our colour can care.
Oil of Ulay,UK,2005,Live your passion.
Oil of Ulay,UK,2005,A new passionate fragrance.
Organic Surge,UK,2008,Think happy.
Organic Surge,UK,2013,Live life better.
Drom,UK,2000,Be different.
Drom,UK,2003,Real life – In every single drop.
St. Ives,UK,2002,Natural. Powerful. Proven.
St. Ives,UK,2007,Visibly healthy. Naturally Swiss.
Dove Exfoliant,US,2003,Fresh beautiful skin everyday.
Dove Exfoliant,US,2003,Fresh skin daily.
Dove Exfoliant,US,2010,Pretty powerful.
Dove Exfoliant,US,2016,Be who you are.
Goldwell,CH,2011,Intelligent care for hair.
Goldwell,CH,2012,Closer to stylists. Closer to hair.
Dove Shampoo,UK,2002,The secret of beautiful hair.
Dove Shampoo,UK,2002,Unbeatable moisturisation.
Old Spice High Endurance,US,2005,Keep cool. Smell great.
Old Spice High Endurance,US,2006,The easiest way to get clean from head to toe.
Old Spice Swagger,US,2008,The scent that makes a difference.
Old Spice Swagger,US,2016,Smell ’em who’s boss.
Stayfree Ultra Thin,US,2003,Stay clean. Stay fresh. Stayfree.
Stayfree Ultra Thin,US,2005,Dry protection you can trust.
Paco Rabanne,UK,1983,What is remembered is up to you.
Paco Rabanne,UK,2002,Whether she remembers depends on you.
Palmer’s,UK,2000,Restore what’s naturally yours.
Palmer’s,UK,2012,Perfect formula. Extraordinary results.
Palmer’s,UK,2003,Designed to make a difference.
Palmer’s,UK,2009,Design desire.
Palmer’s Cocoa Butter Formula,UK,1996,Everything Palmer’s touches turns to soft.
Palmer’s Cocoa Butter Formula,UK,2009,Proven formula. Extraordinaray results.
Pantene Pro-V Clarifying,UK,2001,For healthy hair to fall in love with.
Pantene Pro-V Clarifying,UK,2003,A lighter kind of shine.
Brut,UK,2004,Wise women buy Brut – Wise men wear it.
Brut,UK,2009,For real men.
Signal,UK,1984,With the stripes that help to heal.
Signal,UK,2004,We’ve earned our stripes.
Dior Addict,UK,2002,Admit it.
Dior Addict,UK,2012,Be iconic.
Dior Capture Totale,UK,2007,More beautiful today than you were at 20.
Dior Capture Totale,UK,2007,"Your age, the most beautiful age."
Gillette,US,1980,Really treats a woman right.
Gillette,US,2004,The best a man can get.
Gillette,US,2012,It’s easy. It works.
Gillette,US,2012,Discover your smile.
Palmolive,UK,1987,Hair care for everyone.
Palmolive,UK,1991,Palmolive by name. And by nature.
Palmolive,UK,2003,You’re so beautiful.
Palmolive,UK,2012,The medical beauty company.
Nurture,UK,2003,Because beauty starts from within.
Nurture,UK,2008,For inner health & outer beauty.
Magicool,UK,2002,A cool sensation anytime.
Magicool,UK,2012,Touch the cooling future.
Nutra Nail,US,2004,Nutra Nail grows nails.
Nutra Nail,US,2013,Making natural nails beautiful.
Braun Oral-B,UK,2003,Precisely.
Braun Oral-B,UK,2008,Brush like a dentist.
Macleans Whitening,UK,2001,No white lies.
Macleans Whitening,UK,2001,One month to a more confident smile.
Macleans White & Shine,UK,2006,"Don’t just whiten, shine."
Macleans White & Shine,UK,2007,Don’t just clean – Shine.
Macleans Ice Whitening,UK,2001,Cool as ice.
Macleans Ice Whitening,UK,2003,Discover the power of a whiter smile.
Macleans Ice Whitening,UK,2009,Advanced professional skincare.
Macleans Ice Whitening,UK,2013,Advanced skin care backed by science.
Ebba Los Angeles,US,2010,Love. Dream. Create.
Ebba Los Angeles,US,2010,"Unique creations for her, for him, for the home and for the soul."
Palmer’s Coconut Oil Formula,US,2010,Perfect formula. Extraordinary results.
Palmer’s Coconut Oil Formula,US,2016,The nature of you.
Skintimate,US,1996,Drench your legs in moisture.
Skintimate,US,2002,Get Skintimate with your legs.
Palmer’s Cocoa Butter Formula,US,2009,Proven formula. Extraordinary results.
Palmer’s Cocoa Butter Formula,US,2013,Perfect formula. Extraordinary results.
Dark & Lovely,US,2004,"My style, my way."
Dark & Lovely,US,2016,We are dark and lovely.
Dark & Lovely,US,2002,"Be young, have fun."
Dark & Lovely,US,2003,Everything else is up to you.
Dark & Lovely,US,1999,Feel free.
Dark & Lovely,US,2005,Feel fresh. Feel free. Carefree.
Clairol Condition,US,1974,The professional treatment for mistreated hair.
Clairol Condition,US,1980,Get into condition. It’ll leave your hair physically fit.
Revlon ColorStay,US,1996,It’s a revolution for your lips!
Revlon ColorStay,US,2009,Minerals never looked so good.
Euphoria,US,2007,Live the dream.
Euphoria,US,2016,Free the fantasy.
Naturtint,US,2012,Naturally better.
Naturtint,US,2013,Color right with Naturtint!
Mum,UK,1989,And now kinder to your pocket.
Mum,UK,2008,Mum deodorant – Used successfully for 120 years.
Clean & Clear,UK,2008,Clean & Clear and under control.
Clean & Clear,UK,2013,Fighting spots and blackheads.
Eucryl,UK,2004,Enjoy a bigger smile with Eucryl powerful stain remover.
Eucryl,UK,2012,Powerful stain removal.
Navy,US,1993,The clean classic fragrance.
Navy,US,1997,You’re wearing NaVy and it shows.
Coppertone,US,1981,For sunsational skin.
Coppertone,US,2013,Embrace the sun.
Corn Silk,UK,1990,"Look natural, fresher, longer!"
Corn Silk,UK,2002,The choice of today’s models.
Clarins,US,2007,"It’s fact. With Clarins, life’s more beautiful."
Clarins,US,2016,It’s all about you.
Clairol Ultress,US,1996,Feel the power of color.
Clairol Ultress,US,1999,A higher definition of color.
Fixodent,UK,2000,Fixodent and forget it.
Fixodent,UK,2008,Life with more bite.
Fixodent,UK,2010,The wellness company.
Fixodent,UK,2010,I feel good in my skin.
Fixodent,UK,2010,Start your day right!
Fixodent,UK,2014,Perform like a man.
Estee Lauder,US,2009,Beautiful skin solutions.
Estee Lauder,US,2010,Bringing the best to everyone we touch.
Clairol Nice ‘n Easy,UK,2001,A beauty all your own.
Clairol Nice ‘n Easy,UK,2002,Colour that fits you perfectly.
Flore,US,1994,Tender. Sensual. Vibrant. As infinite as happiness.
Flore,US,1995,A world within.
Coty,AT,2012,Faster. Further. Freer.
Coty,AT,2012,A world of beauty.
Rimmel,US,2011,Hot Looks – Cool prices. UK’s #1.
Rimmel,US,2016,Get the London look.
Rimmel Exaggerate,UK,2000,You don’t have to be seen to be heard.
Rimmel Exaggerate,UK,2001,Get it on.
Rimmel Exaggerate,UK,2014,Your body. Your soul. Your rituals.
Rimmel Exaggerate,UK,2016,Your body. Your soul…
Fluorigard,US,1980,Fluoride dental rinse puts cavity-fighting fluoride where brushing often misses.
Fluorigard,US,1981,Fluorigard every day – For the lifetime advantage of fewer cavities.
Prescriptives,UK,2005,Doctor-designed skincare.
Prescriptives,UK,2007,"Designed for all skins, all women."
Pure Silk,US,2010,For legs like Pure Silk.
Pure Silk,US,2013,A better shave – a better you – legs like pure silk.
Pure Silk,US,2005,Set your sign.
Pure Silk,US,2014,The fragrance.
Fenjal,UK,1985,Smoothes away dry skin.
Fenjal,UK,2011,Total care. Total fragrance. Total woman.
NYC New York Color,US,2004,Glamorous. Exciting. Sophisticated.
NYC New York Color,US,2008,You’re beautiful & smart Why pay more?
Rani Kone,US,2013,Since 1981.
Rani Kone,US,2013,The finest quality & largest selling Henna in the world.
Colgate ActiBrush,UK,2001,The power to clean better.
Colgate ActiBrush,UK,2001,Simply a better clean.
Colgate Junior,UK,1986,Seriously designed for children of 6 and under.
Colgate Junior,UK,1988,A lesson learnt young is a lesson for life.
Colgate Platinum,US,1996,"The safe, gentle, everyday whitening toothpaste."
Colgate Platinum,US,1997,"The safe gentle, everyday whitening toothpaste."
Radiesse,US,2010,Natural – immediate – long-lasting.
Radiesse,US,2012,It just gets better.
Colgate Sensitive,UK,2003,Everyday protection from sensitivity.
Colgate Sensitive,UK,2005,Everyday protection for sensitive teeth.
Regaine,UK,2003,"Get the facts, get Regaine."
Regaine,UK,2003,Your hair deserves the best treatment.
Close-up,US,1975,For whiter teeth and fresh breath.
Close-up,US,2004,The taste that heats things up.
Farfalla,CH,2012,Feel beautiful.
Farfalla,CH,2012,Soft as a butterfly’s kiss.
Rembrandt,US,1999,Complete protection for your teeth and mouth.
Rembrandt,US,2003,An intense stain remover.
Rembrandt Plus,US,2000,"For sensational white teeth, you only need a toothbrush and Rembrandt Plus."
Rembrandt Plus,US,2003,Not just white. Rembrandt white.
Purell Instant Hand Sanitizer,US,2004,Powerful protection against germs.
Purell Instant Hand Sanitizer,US,2005,You can touch. Then Purell.
Purell Instant Hand Sanitizer,US,2003,Better products. Better value. Guaranteed.
Purell Instant Hand Sanitizer,US,2012,How the world gets ready.
Purell Instant Hand Sanitizer,US,1999,Follow your instinct.
Purell Instant Hand Sanitizer,US,2003,The power of female attraction.
Eylure,UK,2008,Lashes with personality.
Eylure,UK,2012,The lash specialists.
Natracare,UK,1998,Classically simple – reassuringly natural.
Natracare,UK,2009,Healthier by nature.
Euthymol,UK,1985,Start brushing with Euthymol and pass the oral examination.
Euthymol,UK,1988,"Euthymol, with eucalyptus and thymol. Decidedly individual."
Steradent,UK,1991,There’s no substitute for experience.
Steradent,UK,2012,No. 1 brand recommended by dentists.
Rene Guinot,UK,1989,Caring for the way you are.
Rene Guinot,UK,1992,Beautiful skin – Professional care.
Rene Guinot,UK,2013,Organic skincare.
Rene Guinot,UK,2013,Sense the force of baltic plants.
Rene Guinot,UK,2004,Natural Beauty made in Sweden.
Rene Guinot,UK,2011,Natural beauty from within.
Femfresh,UK,2002,Take the feeling with you.
Femfresh,UK,2012,Expert care for down there.
RoC,US,2006,France 1957.
RoC,US,2007,We keep our promises.
CoverGirl Clean Make-Up,US,1983,The make-up for that face.
CoverGirl Clean Make-Up,US,1988,That’s what looking good is all about.
Physique,US,2000,Physique science gives you the style nature didn’t.
Physique,US,2004,Longer lasting style. At last.
Molton Brown,US,2010,"Made in England, inspired by the world."
Molton Brown,US,2013,London via the world.
Piz Buin One Day Long,UK,2006,Hours of glorious protection.
Piz Buin One Day Long,UK,2007,Hours of gorgeous protection.
Chanel,UK,1950,The most treasured name in perfume.
Chanel,UK,2013,Where beauty begins.
Chanel,UK,2009,Pure colors of nature.
Chanel,UK,2012,Care for you and the world.
Chanel,UK,2003,Sara Lee makes a good day.
Chanel,UK,2013,Our mission is to simply delight you…every day.
Merle Norman,US,1980,The place for the custom face.
Merle Norman,US,2013,Made in the USA.
Schick,US,2003,Trust your intuition.
Schick,US,2014,Free your skin.
Schick Intuition,US,2011,Free your skin.
Schick Intuition,US,2013,Pure nourishment.
Schick Intuition,US,2006,Love youself!
Schick Intuition,US,2012,Your perfect moment.
Mentadent P,UK,1983,A firm foundation for healthy teeth.
Mentadent P,UK,1987,There’s more to be said for it than any other toothpaste.
Mentadent,UK,1984,The first complete cleaning programme for teeth and gums.
Mentadent,UK,1987,There’s more to be said for it than any other toothpaste.
Mentadent,UK,2006,You are so beautiful.
Mentadent,UK,2018,Makeup artists at heart.
Caswell-Massey,US,2010,America’s original since 1752.
Caswell-Massey,US,2013,America’s enlightened apothecary.
Mennen,US,1972,A new era in deodorant protection.
Mennen,US,1985,"Protects you like a man, treats you like a woman."
Colgate Dental Gum,UK,2001,It helps clean your mouth.
Colgate Dental Gum,UK,2004,That just brushed feeling in a box.
Nivea Hand,UK,1999,All your skin needs.
Nivea Hand,UK,2004,Fresher moisturising care.
Nivea Lip Care,UK,2000,"Lip repair, not lip service."
Nivea Lip Care,UK,2000,All the care your lips need.
Nivea Lip Care,UK,2010,Derma-cosmetics based on nature.
Nivea Lip Care,UK,2012,Medical care. Natural effect.
Phyto,US,1996,Beautiful healthy hair through plan B.
Phyto,US,2013,Healthy and beautiful hair through plants.
Phyto,US,2013,Beauty in science. Science for beauty.
Phyto,US,2013,If royal class is your style.
Scope,US,2008,Very fresh breath.
Scope,US,2014,The freshest fresh. Guaranteed.
Scott Extra Soft,US,2005,Common sense on a roll.
Scott Extra Soft,US,2007,Our softest ever.
Sculptra,UK,2007,"Putting back what time takes out, naturally."
Sculptra,UK,2009,"Gradual, subtle, fresh."
Carefree,US,1983,The secret of the fresh-dressed woman.
Carefree,US,2009,Refresh your day.
Chanel Allure,UK,2002,Difficult to define. Impossible to resist.
Chanel Allure,UK,2009,A new dimension of style.
Chanel Allure,UK,2012,Frownies on… frown lines gone!
Chanel Allure,UK,2012,Hollywood’s beauty secret for over 100 years!
Nivea Crème,UK,1984,The face value is priceless.
Nivea Crème,UK,1994,"Moisturises, protects and softens – All the care you need."
Nivea Crème,UK,1998,The power of colour.
Nivea Crème,UK,2000,Makeup your own language.
Nivea Crème,UK,2010,My secret perfume.
Nivea Crème,UK,2013,Be Mojo – be you!
Nivea Crème,UK,2011,The future in professional epilation.
Nivea Crème,UK,2011,Free your skin.
Crest,UK,1995,For the crest of your life.
Crest,UK,2003,See and feel the difference.
Clairesse,US,1980,Because I love the look.
Clairesse,US,1982,The haircolor you can trust.
Christy,UK,1984,A fresh look to skin care.
Christy,UK,2000,Seriously fun skin care.
Mitchum Deodorant,US,1974,The Mitchum method. Plan tonight to sweat less tomorrow.
Mitchum Deodorant,US,1977,There’s no better way to help you stay dry.
Enlighten,UK,2001,Smooth away a lifetime of lines.
Enlighten,UK,2007,Whitening has evolved.
Enlighten,UK,2011,Your beauty. Your colors. Your style.
Enlighten,UK,2015,"I’m sexy, I’m nasty, I’m Misslyn."
Crest Night Effects,US,2003,Whitens 2 x better.
Crest Night Effects,US,2004,For a visible whiter smile.
Crest Revitalise,UK,2004,The new daily beauty treatment for teeth.
Crest Revitalise,UK,2004,Invented at Crest Research. Proven by you.
Crest Revitalise,UK,2012,Safer by nature.
Crest Revitalise,UK,2013,Organic beauty.
Miss Clairol,US,1974,Does she Or doesn’t she?
Miss Clairol,US,1980,This I do for me.
Charmin Ultra,UK,2001,The most cushiony soft paper ever.
Charmin Ultra,UK,2001,You won’t believe it ’til you feel it.
Crest SpinBrush,US,2003,Two heads are really better than one.
Crest SpinBrush,US,2008,Don’t just brush.
Crest Whitestrips,US,2002,Reveal your whiter smile.
Crest Whitestrips,US,2004,Irresistibly white. Irresistibly beautiful.
Miss Dior Cherie,UK,2005,A new fragrance. A new look.
Miss Dior Cherie,UK,2006,All the charm of Dior in a fragrance.
Miss Dior Cherie,UK,2007,The fragrance for winners.
Miss Dior Cherie,UK,2007,Live the dream.
Cuccio,US,2007,Enhancing the scentual spa experience.
Cuccio,US,2013,For the love of colour.
Miss Clairol Crème Formula,US,1974,To know you’re the best you can be!
Miss Clairol Crème Formula,US,1982,The professional way to color hair.
Charlie,US,1980,"The gorgeous, sexy-young fragrance. By Revlon."
Charlie,US,1984,The fragrance that awakens to your touch.
Nivea Body,UK,2000,Your daily routine for firmer skin.
Nivea Body,UK,2007,Feel every bit gorgeous.
Plus + White Booster,US,2004,Doubles the whitening power of your toothpaste.
Plus + White Booster,US,2004,It’s hot.
Clinique,US,2002,"Find more ways to look better, longer at Clinique.com."
Clinique,US,2009,Allergy tested. 100% fragrance free.
Poligrip,UK,2005,Everything’s on the menu.
Poligrip,UK,2008,"Speak, eat and smile with confidence."
Alldays Discreet Multiform,UK,2005,There is no style of panties the new Alldays Discreet Multiform doesn’t adore.
Alldays Discreet Multiform,UK,2006,It loves them all.
Alldays Discreet Multiform,UK,2010,Feel good. Look great.
Alldays Discreet Multiform,UK,2014,More quality for your life.
Lavoris,US,1977,More dentists (including my husband) use refreshing Lavoris than any other mouthwash.
Lavoris,US,1980,The number one single mouthwash formula used by dentists.
BeachBlonde,UK,2001,No one knows summer hair like John Frieda.
BeachBlonde,UK,2002,"Sexy, sun-kissed hair year round."
BeachBlonde,UK,2008,The young lifestyle brand.
BeachBlonde,UK,2012,Passion for make up.
BeachBlonde,UK,2011,The manufacture of cosmetics.
BeachBlonde,UK,2013,Cosmetics almost like hand-made.
BeachBlonde,UK,2011,The choice of dental professionals worldwide.
BeachBlonde,UK,2014,Kenda is my choice.
Almay Hypo-Allergenic,UK,2001,The pure source for beautiful.
Almay Hypo-Allergenic,UK,2004,Colour that loves sensitive skin.
Bath Power,UK,2001,Really works.
Bath Power,UK,2005,Australia’s number 1 cleaning products.
TRESemmé,US,2008,Professional – affordable.
TRESemmé,US,2016,Used by professionals.
Harrogate Sulphur Soap,UK,2002,The original & best.
Harrogate Sulphur Soap,UK,2005,Formulated to care for your skin.
Avent Naturally,UK,2000,For life’s most exciting adventure.
Avent Naturally,UK,2001,Luxury skincare. Through pregnancy and beyond.
Bare Minerals,UK,2012,Be a force of beauty.
Bare Minerals,UK,2017,Be original. Be natural. Be good.
Wet,US,2007,It’s only natural.
Wet,US,2012,Experience the intimacy!
Wet,US,2011,The company for women.
Wet,US,2012,Be your best with the best.
Wet,US,2003,Never walk alone.
Wet,US,2013,A man has charakter. Or not.
Hawaiian Tropic,US,1984,"For a deeper, darker, beautiful tan."
Hawaiian Tropic,US,2010,The beauty of sun protection.
Tabu,US,1974,The forbidden fragrance by Dana.
Tabu,US,1996,Blame it on Tabu.
Tabu,US,2011,Made for you.
Tabu,US,2013,Beauty care from head to feet.
Barbasol,US,2003,Better buy Barbasol gel.
Barbasol,US,2013,Shave like a man.
Tommy Hilfiger,UK,1998,The real American fragrance.
Tommy Hilfiger,UK,2004,A private performance.
Tommy Hilfiger,UK,2011,We beautify the world!
Tommy Hilfiger,UK,2012,Visible effects.
Tommy Hilfiger,UK,2002,Natural beauty.
Tommy Hilfiger,UK,2011,Something naturally special.
Topol,UK,1988,That’s the Topol smile.
Topol,UK,1989,Use Topol stain-fighting toothpaste And smile.
L’Oréal Studio Line,US,1994,"Any look, any style, any way you like it."
L’Oréal Studio Line,US,1996,Create your look the way you like it.
Veet,US,2007,Are your legs touchable?
Veet,US,2013,What beauty feels like.
Albolene,US,1976,The all-cleanser skin cleanser.
Albolene,US,2003,The choice of professionals.
Jergens,UK,2009,Naturally beautiful skin begins here.
Jergens,UK,2013,Beautiful begins with skin.
Jergens,UK,1996,Pure & natural.
Jergens,UK,2004,The art and science of pure flower and plant essences.
Jergens,UK,2016,Feel the color.
Jergens,UK,2018,L.O.V yourself.
Jergens,UK,2003,My way!
Jergens,UK,2012,For living hair.
Kadus,UK,2006,My way!
Kadus,UK,2012,For living hair.
Je Suis by Lentheric,US,1976,Lentheric just put into a fragrance something that can’t be ignored.
Je Suis by Lentheric,US,1976,Let them know who you are.
Almay,UK,1983,The healthy approach to beauty.
Almay,UK,1988,Because all skins are sensitive to time.
Alldays,UK,2000,Little things can make a difference.
Alldays,UK,2006,Nothing but softness on your skin.
Alldays,UK,2011,Professional make-up.
Alldays,UK,2012,Make-up is a science.
AquaBlast,US,2003,Blast your brush clean.
AquaBlast,US,2003,Blast your dental gear clean.
Aveda,US,2009,Beauty is as beauty does.
Aveda,US,2010,The art and science of pure flower and plant essences.
Toni,US,1955,Gentle as a lamb.
Toni,US,1980,"Gentle, even on healthy color-treated hair. Toni did it!"
Lever 2000,US,2010,Because every touch counts.
Lever 2000,US,2014,For healthy fresh feeling skin.
Lever 2000,US,2000,The feel of smart design.
Lever 2000,US,2010,Free your skin.
Lever 2000,US,1998,"Don’t imitate, innovate."
Lever 2000,US,2003,Your fragrance. Your rules.
Takasago,UK,2002,Fragrances that make a difference.
Takasago,UK,2006,Creativity that connects.
Tampax Compak,UK,2002,Made to go unnoticed.
Tampax Compak,UK,2007,The effortless tampon.
Aquafresh Extreme Clean,UK,2003,Take the feeling of clean to the xtreme.
Aquafresh Extreme Clean,UK,2009,Amazing.
Ambi,US,2006,Celebrate your beauty every day.
Ambi,US,2010,The color of flawless skin.
Waterpik,UK,2004,That’s better.
Waterpik,UK,2007,Treat yourself better.
BaByliss,UK,2009,The no.1 brand in haircare.
BaByliss,UK,2010,Our ideas for your beauty.
BaByliss,UK,2003,Visionary beauty.
BaByliss,UK,2009,Power beauty since 1902.
Axe Essence,US,2003,Good and bad. That’s the Essence of every man.
Axe Essence,US,2003,Part good. Part bad.
Wahl,UK,2001,For professionals world wide.
Wahl,UK,2002,Made in the USA for professionals worldwide.
Herbal Essences Fruit Fusion,UK,2003,The experience just got fruity.
Herbal Essences Fruit Fusion,UK,2004,Have you had your daily serving.
The Perfume Shop,UK,2008,Be scentsational.
The Perfume Shop,UK,2008,Designer perfumes at desirable prices.
Klorane,UK,1983,The natural science of hair.
Klorane,UK,1985,"So whatever your hair problem, Klorane has the answer – Naturally."
Ambre Solaire,UK,2000,Making the sun safer.
Ambre Solaire,UK,2003,Relax no one makes the sun safer.
Andis,US,2003,The pick of the professionals.
Andis,US,2007,The professional’s brand.
Lady Scott,US,1972,A tissue for today.
Lady Scott,US,1975,Matching tissues to enhance the look of any bathroom.
Lady Scott,US,2011,Since 1905.
Lady Scott,US,2016,Beautiful skin is in our nature.
Ambush,US,1956,The tender trap.
Ambush,US,1997,The essence of surprise.
Kleenex Cottonelle,US,2001,So soft you’ll never switch back.
Kleenex Cottonelle,US,2015,Go Cottonelle. Go commando.
The Fragrance Foundation,US,1995,"If a picture is worth a thousand words, then your sense of smell is worth a million."
The Fragrance Foundation,US,2011,One drop changes everything.
Vivality,UK,2001,Beautiful hair full of life.
Vivality,UK,2002,Let your hair live.
Kleenex,US,2007,Let it out.
Kleenex,US,2009,It feels good to feel.
Vitint Safe & White,UK,2006,Worry-free whitening the natural way.
Vitint Safe & White,UK,2008,For natural whiter teeth.
ThermaSilk,US,1998,"Where there’s heat, there’s healthy hair."
ThermaSilk,US,2002,Turn your hair into silk.
Tena Lady,UK,2000,It’s all about confidence.
Tena Lady,UK,2005,"Change your pad, not your life."
Kent Brushes,UK,2012,The world’s finest brushes.
Kent Brushes,UK,2013,The world’s finest brushes est. 1777.
Tantowel,UK,2000,Safe tanning with Tantowel.
Tantowel,UK,2013,Look good naked.
Ban Basic,US,1976,It makes basic sense.
Ban Basic,US,1976,Effective. Very economical. And non-aerosol.
Tampax Pearl,US,2004,"Embarrassments happen, leaks shouldn’t."
Tampax Pearl,US,2016,Power over periods.
Kotex Maxi and Mini Pads,US,1981,Because accidents shouldn’t happen.
Kotex Maxi and Mini Pads,US,1981,When the last thing you need is an accident.
Kotex Maxi and Mini Pads,US,2010,The world is beautiful.
Kotex Maxi and Mini Pads,US,2015,The power of a flower.
Kotex Maxi and Mini Pads,US,2003,"Very élégante, very fun, very you."
Kotex Maxi and Mini Pads,US,2005,"Very intense, very élégant, very you."
Kotex Maxi and Mini Pads,US,2005,Choose the science. Get the magic.
Kotex Maxi and Mini Pads,US,2010,SP. The science of personalized care.
Tangle Teezer,UK,2013,Cares for the hair you wear.
Tangle Teezer,UK,2013,Wash. Brush. Hair fabulous.
Tangle Teezer,UK,2011,Healthy. Beautiful. Brown.
Tangle Teezer,UK,2012,We love your skin.
Wella Shockwaves,UK,2004,Style made for connection.
Wella Shockwaves,UK,2009,Style. Attract. Play
Kiehl’s,US,2008,Dermatologist solutions.
Kiehl’s,US,2008,Since 1851.
Alterna,US,2012,"Natural luxury, down to a science."
Alterna,US,2013,Pure. Proven. Professional.
Badedas,UK,1983,Give someone the most exciting Christmas since bathing began.
Badedas,UK,1994,Things happen after a Badedas bath.
Alvin Connor,UK,2012,"Nurture your skin, naturally."
Alvin Connor,UK,2012,Natural balance.
Always,UK,2009,Have a happy period.
Always,UK,2016,Rewrite the rules.
Insette,UK,2001,Make your mark.
Insette,UK,2001,Face the elements.
Insette,UK,1988,Style the best of you.
Insette,UK,1989,New styling. New feeling. New wave.
